Id,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc,Duration,Favorite,Unnamed: 11
17,30 Barbell Roll-Out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,8.0,Average,15,False,
18,Decline plate sit-up,"The decline plate sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Barbell,Intermediate,9.0,Average,13,False,
19,KV Barbell Hip Thrust,"""Hold a barbell over your hips, engage abdominals, and lift hips up towards ceiling, squeezing glutes at top. Lower slowly to start.""",Strength,Abdominals,Barbell,Intermediate,10.0,Average,11,False,
20,Advanced Kettlebell Windmill,"Holding a kettlebell, hinge forward at the hips, keeping your upper body straight, and engage your abdominals to lift the weight off the ground.",Strength,Abdominals,Kettlebells,Beginner,8.3,Average,2,False,
21,Kettlebell Windmill,"The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue.",Strength,Abdominals,Kettlebells,Intermediate,7.7,Average,5,False,
22,Kettlebell Pass Between The Legs,"""Hold kettlebell vertically in front of you, then pass it between your legs, engaging abdominal muscles to maintain control and avoid swinging.""",Strength,Abdominals,Kettlebells,Beginner,7.3,Average,2,False,
23,Kettlebell 3-point leg extension,"The kettlebell 3-point leg extension is a dynamic core exercise performed around and over a kettlebell or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, but targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a kettlebell and bodyweight circuit workout.",Strength,Abdominals,Kettlebells,Intermediate,0.0,Average,8,False,
24,Double Kettlebell Swing,"""Hold kettlebells with handles between knees, swing back and forth, engaging core to generate power and stability.""",Strength,Abdominals,Kettlebells,Intermediate,5.0,Average,9,False,
25,Burpee over kettlebell,"The burpee over kettlebell is a more advanced version of a popular conditioning exercise. If you're performing a circuit that already has both burpees and kettlebell movements, it's a simple way to provide a novel stimulus to the muscles of the lower body and create a more athletic style of training.",Strength,Abdominals,Kettlebells,Intermediate,10.0,Average,0,False,
26,Kettlebell toe-touch,"The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. The simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Kettlebells,Intermediate,3.0,Average,19,False,
27,Kettlebell swing,"The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift.",Strength,Abdominals,Kettlebells,Intermediate,6.0,Average,4,False,
28,Two-way swing,"The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""American"" swing). Both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. This combo can be performed for time or reps and works especially well in circuit-style or full-body training. If you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing.",Strength,Abdominals,Kettlebells,Intermediate,1.0,Average,20,False,
29,Kettlebell crab reach,"The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core.",Strength,Abdominals,Kettlebells,Intermediate,10.0,Average,2,False,
30,Taylor Single-Arm Kettlebell Swing,"""Hold a kettlebell with one hand, hinge back and swing the weight using your hips and legs, engaging your core to maintain control.""",Strength,Abdominals,Kettlebells,Intermediate,10.0,Average,17,False,
31,Holman Kettlebell Up to Elbow Down,"""Hold a kettlebell at chest height, then lift up towards chin and down to elbow, engaging abs throughout. Control the movement and pause briefly before repeating.""",Strength,Abdominals,Kettlebells,Intermediate,5.0,Average,19,False,
32,FYR2 Double-Kettlebell Ski,"""Hold double kettlebells with handles at chest, engage core and swing legs forward in a skiing motion, keeping abs tight.""",Strength,Abdominals,Kettlebells,Intermediate,1.0,Average,8,False,
33,FYR2 Kettlebell Hike,"""Hold a kettlebell with both hands, hinge forward at hips, and hike the weight up towards your chest while engaging your abdominals to maintain control. Lower slowly, squeezing core muscles.""",Strength,Abdominals,Kettlebells,Intermediate,2.0,Average,4,False,
34,FYR2 Kettlebell Cross-Body Catch,"""Hold a kettlebell in each hand, then lift one up and cross your body to catch it with the opposite hand. Alternate hands for 10 reps.""",Strength,Abdominals,Kettlebells,Intermediate,9.0,Average,1,False,
35,FYR2 Kettlebell Duck Walk,"""Hold kettlebells by your hips, engage core, and walk sideways while keeping your upper body still, targeting your abdominals.""",Strength,Abdominals,Kettlebells,Intermediate,7.0,Average,9,False,
36,FYR2 Kettlebell Get-Up Reach,"""Start in a seated position with kettlebell on opposite side. Slowly get up, keeping core engaged, and reach for kettlebell with hand. Return to starting position.""",Strength,Abdominals,Kettlebells,Intermediate,10.0,Average,19,False,
37,FYR2 Kettlebell Juggle,"""Hold two kettlebells vertically at chest height, alternate tapping them to each side, engaging abs and maintaining core stability.""",Strength,Abdominals,Kettlebells,Intermediate,2.0,Average,20,False,
38,FYR2 Squat-Clean-Alternating-Press Complex,"""Hold kettlebell between feet, alternate squatting and cleaning then pressing. Focus on slow, controlled movements to engage abdominal muscles.""",Strength,Abdominals,Kettlebells,Intermediate,8.0,Average,19,False,
39,Dumbbell V-Sit Cross Jab,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",Strength,Abdominals,Dumbbell,Intermediate,9.3,Average,19,False,
40,Dumbbell spell caster,"The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control.",Strength,Abdominals,Dumbbell,Beginner,9.3,Average,1,False,
41,Dumbbell side bend,"The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides.",Strength,Abdominals,Dumbbell,Intermediate,8.6,Average,16,False,
42,Dumbbell crunch,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Dumbbell,Intermediate,5.0,Average,0,False,
43,Dumbbell Fix Dumbbell Sprawl,"""Engage core, lift dumbbells to chest. Sustain plank position while slowly lowering one dumbbell behind head, then quickly return to start. Repeat on opposite side.""",Strength,Abdominals,Dumbbell,Intermediate,8.0,Average,0,False,
44,Dumbbell Fix Alternating Renegade Row,"""Engage core and alternate arms, holding dumbbells at sides. Perform a renegade row with one arm while keeping the other still. Switch sides. Focus on abdominal contraction to maintain form.""",Strength,Abdominals,Dumbbell,Intermediate,5.0,Average,1,False,
45,Dumbbell Fix Dumbbell Mountain Climber,"""Start in plank position, hold dumbbell between feet. Quickly alternate bringing one foot up to meet the other, mimicking a running motion, engaging abs and core.""",Strength,Abdominals,Dumbbell,Intermediate,7.0,Average,8,False,
46,Dumbbell Fix Dumbbell Russian Twist,"""Hold dumbbell vertically, twist torso to left and right, targeting obliques. Keep core engaged, rotate 3-5 inches on each side.""",Strength,Abdominals,Dumbbell,Intermediate,5.0,Average,2,False,
47,Dumbbell Fix Dumbbell Pull-Over,"Lie on a flat bench, hold a dumbbell over chest, lift and pull towards belly button, squeezing abs at top. Lower slowly, repeating the motion.",Strength,Abdominals,Dumbbell,Intermediate,4.0,Average,14,False,
48,Dumbbell Fix Dumbbell Sit-Up,"""Hold a dumbbell in each hand, sit up straight and lift feet off the floor. Slowly sit up, crunching abs and lifting shoulders. Lower back to start.""",Strength,Abdominals,Dumbbell,Intermediate,2.0,Average,20,False,
49,Dumbbell Fix Dumbbell Front Squat,"""Sit holding a dumbbell, engage abs and slowly stand up, then slowly lower into a front squat while keeping the weight fixed in front of you.""",Strength,Abdominals,Dumbbell,Intermediate,1.0,Average,14,False,
50,Dumbbell Fix Full Man Maker,"""Hold a dumbbell, engage core and fix your gaze up. Twist torso left, then right, targeting obliques while maintaining upper body stability.""",Strength,Abdominals,Dumbbell,Intermediate,8.0,Average,19,False,
51,Dumbbell T-hold,"The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation.",Strength,Abdominals,Dumbbell,Intermediate,7.0,Average,3,False,
52,Dumbbell hollow-body floor press,The dumbbell hollow-body floor press combines upper-body strength and core work in one move.,Strength,Abdominals,Dumbbell,Intermediate,10.0,Average,16,False,
53,Dumbbell crusher,"The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use.",Strength,Abdominals,Dumbbell,Intermediate,9.0,Average,13,False,
54,Dumbbell Crunch - Gethin Variation,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Dumbbell,Intermediate,5.0,Average,9,False,
55,Single-arm dumbbell crunch,"The single-arm dumbbell crunch is a more difficult version of a highly popular abdominal movement. Adding a weight to one side makes the crunch far more difficult to your rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles.",Strength,Abdominals,Dumbbell,Intermediate,6.0,Average,1,False,
56,HM Alternating Dumbbell Plank Row,"""Hold a plank position, alternate rowing each arm to your sides, keeping core engaged and dumbbells close to your body.""",Strength,Abdominals,Dumbbell,Intermediate,4.0,Average,10,False,
57,Dumbbell straight-legged hip raise,The dumbbell straight-legged hip raise works the hips and glutes. It requires and teaches body control and coordination.,Strength,Abdominals,Dumbbell,Intermediate,10.0,Average,4,False,
58,Seated leg tuck with dumbbell,The seated leg tuck with dumbbell is an ab exercise requiring only a bench and a dumbbell. It's commonly performed for high reps as a burnout at the end of a core workout.,Strength,Abdominals,Dumbbell,Intermediate,3.0,Average,8,False,
59,Dumbbell V-sit cross jab-,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",Strength,Abdominals,Dumbbell,Intermediate,5.0,Average,0,False,
60,30 Hanging Leg Raise With Dumbbell,"Hang from a pull-up bar with arms straight, hold a dumbbell between feet. Lift legs and torso, keeping core engaged, then slowly lower back down.",Strength,Abdominals,Dumbbell,Intermediate,5.0,Average,16,False,
61,Dumbbell Get-Up Sit-Up,"""From a seated position, hold a dumbbell and lift into a sit-up. Twist torso to place feet flat on floor, then stand up while maintaining core engagement.""",Strength,Abdominals,Dumbbell,Expert,7.0,Average,20,False,
62,Holman Right Side Plank with Left Triceps Press,"""Hold a right side plank, engaging abdominals. Hold a dumbbell with left hand and press it downwards to triceps, maintaining straight arm.""",Strength,Abdominals,Dumbbell,Intermediate,2.0,Average,1,False,
63,Holman Left Side Plank with Right Triceps Press,"""Engage core by drawing belly button to spine. Hold plank position with left side down, right arm extended holding dumbbell. Press dumbbell downwards with right triceps while maintaining plank form.""",Strength,Abdominals,Dumbbell,Intermediate,9.0,Average,7,False,
64,Holman Boat with Feet Push-Out and Overhead Press,"""Hold a dumbbell near your chest, engage abs, then slowly extend legs while pressing dumbbell overhead; maintain control as you return to starting position.""",Strength,Abdominals,Dumbbell,Intermediate,7.0,Average,7,False,
65,Holman Hovering Plank Row,"""Hold a plank position, hover dumbbell over shoulder. Lift and row, engaging abdominals to control movement.""",Strength,Abdominals,Dumbbell,Intermediate,9.0,Average,4,False,
66,Holman Weighted Seated Killer Abs to Russian Twist,"Hold a dumbbell with both hands, seated and knees bent. Twist torso left, extending arm straight out from shoulder; return to starting position and repeat on opposite side.",Strength,Abdominals,Dumbbell,Intermediate,10.0,Average,18,False,
67,Holman Straight Plank Dumbbell Reach-Under,"""Hold a plank position, engage core and lift one dumbbell under your body, keeping arms straight. Alternate sides for maximum abdominal activation.""",Strength,Abdominals,Dumbbell,Intermediate,1.0,Average,11,False,
68,Holman Straight-Arm Side Plank Overhead Press to Chest Press,"""Hold a side plank on one leg, holding a dumbbell vertically. Press overhead, then lower to chest, engaging abs throughout.""",Strength,Abdominals,Dumbbell,Intermediate,8.0,Average,8,False,
69,Holman Weighted Burpee to Pike,"""Hold dumbbell, drop into a squat, kick back into a plank, do a pike crunch, then quickly return to standing.""",Strength,Abdominals,Dumbbell,Intermediate,1.0,Average,20,False,
70,Holman Straight-Legged Boat Chest Press,"""Hold a dumbbell near your chest, engage abdominals to maintain straight-legged boat position, then press the weight forward while keeping core tight.""",Strength,Abdominals,Dumbbell,Intermediate,7.0,Average,20,False,
71,Holman Weighted Burpee to Side Delt Raise,"""Hold dumbbell, perform a weighted burpee then lift dumbbell to side delt, keeping core engaged and abs tight throughout the movement.""",Strength,Abdominals,Dumbbell,Intermediate,7.0,Average,2,False,
72,Holman Heavy Double Pike,"""Hold a dumbbell between your feet, engage your core and lift your legs up to a pike position. Slowly lower and repeat, targeting your abdominals.""",Strength,Abdominals,Dumbbell,Intermediate,5.0,Average,15,False,
73,Holman Heavy Double Split Pike,"""Hold a dumbbell, engage core, and lower into a pike position. Slowly lift legs up towards ceiling, then control descent back down, targeting abs.""",Strength,Abdominals,Dumbbell,Intermediate,7.0,Average,7,False,
74,MetaBurn Alternating Dumbbell Sit-Through,"""Hold a dumbbell in each hand, sit on floor with knees bent. Alternate bringing one elbow to opposite knee while twisting torso, engaging abdominals.""",Strength,Abdominals,Dumbbell,Intermediate,9.0,Average,17,False,
75,MetaBurn Alternating Plank Row With Dumbbell Pull-Through,"""Holding a plank, alternate arms and engage abs as you pull dumbbells towards chest, squeezing core at peak contraction.""",Strength,Abdominals,Dumbbell,Intermediate,4.0,Average,9,False,
76,MetaBurn Alternating Plank Row With Push-Up,"""Hold a plank position with dumbbells, alternate rowing and pushing up while engaging abdominals, maintaining core stability throughout the movement.""",Strength,Abdominals,Dumbbell,Intermediate,4.0,Average,6,False,
77,MetaBurn Dumbbell Russian Twist,"""Hold a dumbbell vertically against your chest, twist torso to left and right, targeting abdominals. Alternate sides for effective ab engagement.""",Strength,Abdominals,Dumbbell,Intermediate,2.0,Average,1,False,
78,MetaBurn Dumbbell Toe-Touch,"""Hold a dumbbell, stand with feet shoulder-width apart. Bend forward at hips, keeping back straight, and touch toes while engaging abdominals. Slowly return to standing.""",Strength,Abdominals,Dumbbell,Intermediate,2.0,Average,10,False,
79,MetaBurn Plank To Alternating Row,"""Hold a plank position, arms straight and dumbbell in hand. Alternate rowing motions, moving arm towards opposite knee while engaging core for added stability.""",Strength,Abdominals,Dumbbell,Intermediate,7.0,Average,7,False,
80,Standing dumbbell knee crunch-,"The standing dumbbell knee crunch is a great way to train the abs while standing up. Additionally, the deltoids are worked because the lifter holds a pair of dumbbells overhead throughout.",Strength,Abdominals,Dumbbell,Intermediate,1.0,Average,11,False,
81,MetaBurn Plank With Dumbbell Rotation,"""Hold a plank position, then rotate your torso to lift a dumbbell towards each shoulder, keeping abs engaged and core steady.""",Strength,Abdominals,Dumbbell,Intermediate,9.0,Average,1,False,
82,FYR2 Dumbbell Crab Reach,"""Hold a dumbbell with both hands, engage abs, and lift legs off ground. Reach for dumbbell with one hand while keeping legs straight, then switch sides.""",Strength,Abdominals,Dumbbell,Intermediate,8.0,Average,2,False,
83,FYR2 Dumbbell Man-Maker,"""Hold a dumbbell vertically near your chest, engage core and lift into a plank position. Slowly lower the weight to one side, keeping legs straight, then quickly return to starting position.""",Strength,Abdominals,Dumbbell,Intermediate,3.0,Average,15,False,
84,FYR2 Dumbbell Sit-Up Reach,"""Sit on floor with knees bent, feet flat. Hold dumbbell overhead with arms extended. Lift shoulders off ground, reaching for weight while engaging abdominal muscles.""",Strength,Abdominals,Dumbbell,Intermediate,10.0,Average,19,False,
85,FYR2 Loaded Beast Sprawl,"""Hold a dumbbell near chest, engage abdominals, and sprawl into a crunch position. Lower back towards ground while maintaining control, then slowly return to start.""",Strength,Abdominals,Dumbbell,Intermediate,5.0,Average,6,False,
86,FYR2 Loaded to Unloaded Beast,"""Hold a dumbbell, engage core, and lift legs off ground. Slowly lower towards floor, pause, then explosively return to start. Focus on controlled movement and abdominal contraction throughout.""",Strength,Abdominals,Dumbbell,Intermediate,2.0,Average,3,False,
87,Lying Leg Pullover,"""Lying Leg Pullover: Lie on back, holding dumbbell behind knees. Lift legs straight up, squeezing abdominals, then slowly lower, controlling movement.""",Strength,Abdominals,Dumbbell,Intermediate,5.0,Average,0,False,
88,Landmine twist,"The landmine twist is a rotational abdominal movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. It targets the deep muscles of the core, including both the obliques and the transversus abdominis. It can be done fast or slow, for time or reps, either in traditional muscle-focused rep ranges such as 8-12 reps per side or for higher rep ranges.",Strength,Abdominals,Other,Intermediate,9.5,Average,18,False,
89,Suspended ab fall-out,"The suspended ab fall-out is a dynamic abdominal exercise utilizing a suspension strap system or gymnastic rings. It is similar in form to an ab roller, but can more easily be scaled to be more or less difficult. It targets the muscles of the rectus abdominis or ""six-pack"" muscles, as well as the deep core muscles. It can be trained for low reps for strength or higher reps for muscle definition.",Strength,Abdominals,Other,Intermediate,9.3,Average,11,False,
90,Decline reverse crunch,"The decline reverse crunch is a popular bodyweight exercise targeting the abdominal muscles, particularly the lower abs. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout.",Strength,Abdominals,Other,Intermediate,9.2,Average,6,False,
91,Plate Twist,"Hold a weight plate between hands, twist torso left and right, engaging abdominals to maintain posture, control movement.",Strength,Abdominals,Other,Beginner,9.0,Average,8,False,
92,Weighted Crunches,"The weighted suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training.",Strength,Abdominals,Other,Intermediate,8.9,Average,19,False,
93,Ab Roller,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.",Strength,Abdominals,Other,Intermediate,8.9,Average,6,False,
94,Otis-Up,"The Otis-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominus or “six-pack” muscles, but also involves the obliques and deep core muscles. It is normally performed on a decline bench holding a weight plate, but can also be performed with a dumbbell, kettlebell, or other weight.",Strength,Abdominals,Other,Intermediate,8.8,Average,17,False,
95,Captain's chair knee raise,"The captain's chair knee raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Knee raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.",Strength,Abdominals,Other,Intermediate,8.6,Average,17,False,
96,Sledgehammer swing,The sledgehammer swing is an exercise working the abdominals and numerous other muscles. The sledgehammer is slammed from overhead onto a tire which absorbs the impact and causes the hammer to bounce back up. It can be performed for time or reps as part of a functional fitness or athleticism-focused workout.,Plyometrics,Abdominals,Other,Intermediate,8.6,Average,17,False,
97,Decline bar press sit-up,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Barbell,Intermediate,8.5,Average,4,False,
98,Pallof press,"The Pallof press is an isometric exercise that trains core stability. It involves resisting rotation from a cable or band, developing what is sometimes called ""anti-rotation"" core strength. It is most often seen in programs for athletes who compete in sports that test strength, power, and functional movements. It can be trained in timed holds or for reps by pressing the cable or band away from the body.",Strength,Abdominals,Other,Intermediate,8.4,Average,12,False,
99,Weighted Sit-Ups - With Bands,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",Strength,Abdominals,Other,Intermediate,8.0,Average,14,False,
100,Suitcase crunch,"The suitcase crunch is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a V-up, but the lower back stays flat against the ground. It can be performed for time or reps in the ab-focused portion of any workout.",Strength,Abdominals,Other,Intermediate,0.0,Average,15,False,
101,FYR Rope Jumping,"Jumping rope is classic conditioning exercise that is popular with everyone from children to boxers to CrossFit athletes. It targets many different muscles, including the calves, glutes, shoulders, and upper back, and is great for everything from fat loss to improving overall athletic performance.",Strength,Abdominals,Other,Intermediate,9.0,Average,2,False,
102,Barbell press sit-up,"The barbell press sit-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also involves the obliques and deep core muscles. It can be performed on the floor with the feet anchored or unanchored, or on a decline or other bench. It is similar to the Otis-up, which is performed with a weight plate.",Strength,Abdominals,Other,Intermediate,4.0,Average,10,False,
103,Single-arm bent-over rear delt fly,"The single-arm bent-over rear delt fly is a popular upper-body exercise that targets the muscles on the back of the shoulder joint, specifically the rear head of the deltoid. Since pressing movements build the front and (to a lesser degree) side deltoid heads, this move is often done to promote balanced shoulder development. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a shoulder or upper-body workout.",Strength,Abdominals,Other,Intermediate,5.0,Average,18,False,
104,Captain's chair leg raise,"The captain's chair leg raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Leg raise variations are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.",Strength,Abdominals,Other,Intermediate,4.0,Average,11,False,
105,Shoulder-Elevated One-Leg Hip Thrusts,"""Lie on back, elevate shoulders and lift one leg straight up. Engage abs to crunch up, then lower leg without touching floor. Repeat on opposite side.""",Strength,Abdominals,Other,Intermediate,8.0,Average,15,False,
